video,prompt,source_url,license,artist
videos/0000.mp4,"A cinematic travel documentary video showing Actress Gale Storm and family take a road trip in their Chevrolet and review the do's and don'ts of auto traveling.. Smooth camera movement, realistic daylight, natural colors, city and landmark travel atmosphere, high detail.",https://archive.org/details/HowtoGoP1954,http://creativecommons.org/licenses/publicdomain/,Handy (Jam) Organization
videos/0001.mp4,"A cinematic travel documentary video showing Cinemascope homage to the city of San Francisco made by amateur filmmaker and inventor Tullio Pellegrini.. Smooth camera movement, realistic daylight, natural colors, city and landmark travel atmosphere, high detail.",https://archive.org/details/SanFrancisco1955CinemascopeFilm,http://creativecommons.org/licenses/by-sa/3.0/,Tullio Pellegrini
videos/0002.mp4,"A cinematic travel documentary video showing How a New York City newspaper delivery drivers' strike in 1945 failed to divert readers' interest in their favorite newspapers. Shows the newspapers of the day and huge lines of people outside newspaper offices waiting to purchase updated editions. In Kodachrome.. Smooth camera movement, realistic daylight, natural colors, city and landmark travel atmosphere, high detail.",https://archive.org/details/17DaysTh1945,http://creativecommons.org/licenses/publicdomain/,Unknown
videos/0003.mp4,"A cinematic travel documentary video showing Development of Brazil's planned city.. Smooth camera movement, realistic daylight, natural colors, city and landmark travel atmosphere, high detail.",https://archive.org/details/BeloHori1949,http://creativecommons.org/licenses/publicdomain/,U.S. Office of Inter-Amer Affairs
videos/0004.mp4,"A cinematic travel documentary video showing This 1964 vintage promotional film by Frigidaire, adivision of General Motors, presents a visionary glimpse into thefuture through a blend of futuristic world's fair exhibits andmid-century modern home appliance innovations. Beginning with abstractartistic visuals and futuristic architecture, the film explores themesof space exploration, resource management in Antarctica and the ocean,and advanced infrastructure deve. Smooth camera movement, realistic daylight, natural colors, city and landmark travel atmosphere, high detail.",https://archive.org/details/out_of_this_world,http://creativecommons.org/licenses/publicdomain/,
videos/0005.mp4,"A cinematic travel documentary video showing The great amusement zone in its heyday.. Smooth camera movement, realistic daylight, natural colors, city and landmark travel atmosphere, high detail.",https://archive.org/details/ConeyIsl1940,http://creativecommons.org/licenses/publicdomain/,Unknown
videos/0006.mp4,"A cinematic travel documentary video showing PA-2177 ìWonderful Worldî 08:01:14:28 - 08:45:06:23 Color Sound 1959 ""Wonderful World"" Broad documentary surveying global cultures, lifestyles, emphasizing common human activities, sponsored by Coca-Cola. Narrator: Ken Nordine. Parallels in European, American, Asian, South American, Caribbean lifestyles, leisure, hospitality, (racial stereotypes in narration.) Landmarks, history, sports, architecture, travel. Amazing. Smooth camera movement, realistic daylight, natural colors, city and landmark travel atmosphere, high detail.",https://archive.org/details/0731_Wonderful_World_19_01_23_00,Prelinger/public domain collection,Handy (Jam) Organization
videos/0007.mp4,"A cinematic travel documentary video showing The Regional Planning Association of America's plea for community chaotic cities and urban sprawl. Directors: Ralph Steiner and Willard Van Dyke. Script: Henwar Rodakiewicz, from an outline by Pare Lorentz. Commentary written by Lewis Mumford. Narrator: Morris Carnovsky. Photography: Ralph Steiner, Willard Van Dyke, Jules V.D. Bucher, Edward Anhalt, Roger Barlow and Rudolph Bretz. Editor: Theodore Lawrence. Music: Aa. Smooth camera movement, realistic daylight, natural colors, city and landmark travel atmosphere, high detail.",https://archive.org/details/CityTheP1939,http://creativecommons.org/licenses/publicdomain/,"American Documentary Films, Inc."
videos/0008.mp4,"A cinematic travel documentary video showing Promotional film made for the City of Detroit, an unsuccessful bidder for the Olympic Games. With views of city highways, automobile manufacturing, a diverse population, and social activities, all shot prior to the city's economic decline.. Smooth camera movement, realistic daylight, natural colors, city and landmark travel atmosphere, high detail.",https://archive.org/details/DetroitC1965,http://creativecommons.org/licenses/publicdomain/,Handy (Jam) Organization
videos/0009.mp4,"A cinematic travel documentary video showing The comfort and delight of transatlantic air travel at the beginning of the jet age.. Smooth camera movement, realistic daylight, natural colors, city and landmark travel atmosphere, high detail.",https://archive.org/details/612Magic1958,http://creativecommons.org/licenses/publicdomain/,Kahlenberg
videos/0010.mp4,"A cinematic travel documentary video showing Impressionistic picture of the Third Avenue Elevated Railway in Manhattan, New York City, before it was demolished.. Smooth camera movement, realistic daylight, natural colors, city and landmark travel atmosphere, high detail.",https://archive.org/details/ThirdAve1950,http://creativecommons.org/licenses/publicdomain/,Davidson (Carson)
videos/0011.mp4,"A cinematic travel documentary video showing Shows the differences in the life experience of three male babies from three different social classes. One young man succeeds his father as president of the family manufacturing company. Another, a middle-class white-collar worker at the same company, leaves the town of his birth and moves to New York City where he becomes a respected advertising art director, thus rising in social status. A third, born into the work. Smooth camera movement, realistic daylight, natural colors, city and landmark travel atmosphere, high detail.",https://archive.org/details/SocialCl1957,http://creativecommons.org/licenses/publicdomain/,Knickerbocker Productions
